,费德勒,,,纳达尔
,胜,负,胜率,胜,负,胜率
硬地赛事,633,129,.831,343,100,.774
红土赛事,211,66,.762,344,30,.920
草地赛事,142,20,.877,58,17,.773
地毯赛事,50,19,.725,2,6,.250
室内赛事,252,62,.803,65,32,.670
室外赛事,784,172,.820,682,121,.849
""
获得的冠军个数
,费德勒冠军,纳达尔冠军
2003,7,0
2004,11,1
2005,11,11
2006,12,5
2007,8,6
2008,4,8
2009,4,5
2010,5,7
2011,4,3
2012,6,4
2013,1,10
2014,5,4
2015,4,3
""
对战的数据
年份,场地,胜者
2014,硬地赛事,拉菲尔纳达尔
2013,硬地赛事,拉菲尔纳达尔
2013,硬地赛事,拉菲尔纳达尔
2013,红土赛事,拉菲尔纳达尔
2013,硬地赛事,拉菲尔纳达尔
2012,硬地赛事,罗杰费德勒
2012,硬地赛事,拉菲尔纳达尔
2011,硬地赛事,罗杰费德勒
2011,红土赛事,拉菲尔纳达尔
2011,红土赛事,拉菲尔纳达尔
2011,硬地赛事,拉菲尔纳达尔
2010,硬地赛事,罗杰费德勒
2010,红土赛事,拉菲尔纳达尔
2009,红土赛事,罗杰费德勒
2009,硬地赛事,拉菲尔纳达尔
2008,草地赛事,拉菲尔纳达尔
2008,红土赛事,拉菲尔纳达尔
2008,红土赛事,拉菲尔纳达尔
2008,红土赛事,拉菲尔纳达尔
2007,硬地赛事,罗杰费德勒
2007,草地赛事,罗杰费德勒
2007,红土赛事,拉菲尔纳达尔
2007,红土赛事,罗杰费德勒
2007,红土赛事,拉菲尔纳达尔
2006,硬地赛事,罗杰费德勒
2006,草地赛事,罗杰费德勒
2006,红土赛事,拉菲尔纳达尔
2006,红土赛事,拉菲尔纳达尔
2006,红土赛事,拉菲尔纳达尔
2006,硬地赛事,拉菲尔纳达尔
2005,红土赛事,拉菲尔纳达尔
2005,硬地赛事,罗杰费德勒
2004,硬地赛事,拉菲尔纳达尔
